地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市第08選區,高金建華,1,男,1971,無黨籍及未經政黨推薦,205,9.33%, ,否
,高正尚,2,男,1961,無黨籍及未經政黨推薦,483,21.98%, ,否
,黃鶴敏,3,男,1956,無黨籍及未經政黨推薦,118,5.37%, ,否
,高李茂俊,4,男,1957,親民黨,116,5.27%, ,否
,李傅中武,5,男,1973,中國國民黨,1275,58.03%,*,否
新北市第12選區,張金榮,1,男,1951,無黨籍及未經政黨推薦,1772,34.44%, ,否
,王建章,2,男,1958,中國國民黨,1939,37.68%,*,否
,陳勝榮,3,男,1956,無黨籍及未經政黨推薦,1434,27.87%, ,否
臺中市第16選區,林榮進,1,男,1947,中國國民黨,3316,50.26%,*,否
,林建堂,2,男,1954,中國國民黨,1893,28.69%, ,否
,江世大,3,男,1955,中國國民黨,1388,21.03%, ,否
臺南市第18選區,顏明仁,1,男,1958,民主進步黨,111,8.98%, ,否
,曾秀娟,2,女,1978,無黨籍及未經政黨推薦,464,37.54%,*,否
,孫曉萍,3,女,1967,無黨籍及未經政黨推薦,160,12.94%, ,否
,李志宏,4,男,1967,中國國民黨,265,21.44%, ,否
,許玉美,5,女,1959,中國國民黨,236,19.09%, ,否
高雄市第13選區,柯路加,1,男,1954,中國國民黨,1736,63.10%,*,否
,林國權,2,男,1952,中國國民黨,1015,36.89%, ,否
高雄市第14選區,宋玉清,1,男,1958,無黨籍及未經政黨推薦,443,13.87%, ,否
,謝貴來,2,男,1954,中國國民黨,687,21.51%, ,否
,顏金得,3,男,1955,中國國民黨,823,25.77%, ,否
,伊斯坦大 貝雅夫‧正福,4,男,1956,無黨籍及未經政黨推薦,1240,38.83%,*,否
高雄市第15選區,張正信,1,男,1958,民主進步黨,411,13.90%, ,否
,唐惠美,2,女,1958,中國國民黨,1035,35.02%, ,否
,孫慶龍,3,男,1952,中國國民黨,1509,51.06%,*,否
